Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
16/02/2025 11:24:12,16/02/2025,10:30:00,Culto,Culto de Celebração,Pastora Ana Lucia,O Princípio do Primeiro ,SIM,Uma Vida Mais que Abençoada ,45,91,35,10,22,
16/02/2025 17:56:33,16/02/2025,17:00:00,Culto,Culto de Celebração,Pastora ana lucia,Pricipio do primiero,SIM,Uma vida mais qu abencoada,32,60,22,03,20,
16/02/2025 19:58:49,16/02/2025,19:00:00,Culto,Culto de Celebração,Pastora Ana lucia,Principio do primeiro ,SIM,Uma vida abencoada,32,43,27,5,24,
19/02/2025 20:02:26,19/02/2025,19:00:00,Culto,Culto de Quarta,Pr Clodoilson ,O Milagre do Novo Nascimento,SIM,Os Milagres de Jesus,24,40,17,9,23,
23/02/2025 11:37:44,23/02/2025,10:30:00,Culto,Culto de Celebração,Pastor Waldomiro ,Como quebrar a influencia de mamom,SIM,Uma vida abençoada,36,64,24,5,20,
23/02/2025 18:11:19,23/02/2025,17:00:00,Culto,Culto de Celebração,Pra. Janister ,Como Quebrar a Influência de Mamom,SIM,Uma Vida Abençoada ,33,63,17,3,24,
23/02/2025 19:55:27,23/02/2025,19:00:00,Culto,Culto de Celebração,Pr Vagno,Como Derrotar o Espírito de Mamom,SIM,Uma Vida Abençoada ,30,51,17,4,27,
26/02/2025 19:51:07,26/02/2025,19:00:00,Culto,Culto de Quarta,Pastora ana lucia,Seja patagonista do seu milagre,SIM,Os milagre de jesus,20,27,20,3,23,Total de adultos 70
02/03/2025 11:56:09,02/03/2025,10:30:00,Culto,Culto de Celebração,Pastor clodoilson,Eu sou generoso?,SIM,Uma vida abençoada,36,69,17,8,31,
02/03/2025 18:08:23,02/03/2025,17:00:00,Culto,Culto de Celebração,Pr Clodoilson ,Eu Sou Generoso ?,SIM,Uma Vida Abençoada ,38,87,18,8,25,
02/03/2025 20:15:16,02/03/2025,19:00:00,Culto,Culto de Celebração,Pr Clodoilson ,Eu Sou Generoso?,SIM,Uma Vida Abençoada ,21,44,18,7,26,
05/03/2025 19:50:40,05/03/2025,07:00:00,Culto,Culto de Quarta,Pastora janister,Vencendo desafios,SIM,Vencendo desafios,23,38,22,8,19,
09/03/2025 11:31:04,09/03/2025,10:30:00,Culto,Culto de Celebração,Pastora ana lucia,Deus revompensaa boa mordomia,SIM,Uma vida abencoada,44,62,33,4,21,Total de adultos e pastores =127
09/03/2025 17:53:36,09/03/2025,17:00:00,Culto,Culto de Celebração,Pastora Ana,Deus Recompensa a Boa Mordomia,SIM,Uma vida abençoada ,37,59,18,8,19,"Culto Relevanteen 
Tema: Deus quer você batizado 
Ministro: Ezequiel
Voluntários: 3
Teens:15"
09/03/2025 19:50:12,09/03/2025,19:00:00,Culto,Culto de Celebração,Pastora Ana,Deus Recompensa a boa Mordomia ,SIM,Uma vida mais que abençoado ,21,36,18,8,20,
12/03/2025 19:47:30,12/03/2025,19:00:00,Culto,Culto de Celebração,Pr Valdomiro,Vencendo Desafios,SIM,Vencendo Desafios ,22,30,10,5,15,
16/03/2025 11:38:47,16/03/2025,10:30:00,Culto,Culto de Celebração,Pra Janister ,O Princípio da Multiplicação ,SIM,Uma Vida Abençoada ,34,51,21,8,24,
16/03/2025 18:00:59,16/03/2025,17:00:00,Culto,Culto de Celebração,Pastora Ana Janete,O Princípio da Multiplicação ,SIM,Uma Vida Abençoada ,27,44,19,6,20,Teen 19 - Voluntários Teen 5
16/03/2025 19:52:32,16/03/2025,07:00:00,Culto,Culto de Celebração,Pastor carlos canto ,O principio da multiplicação ,SIM,Uma vida abençoada ,23,37,18,8,23,
19/03/2025 19:59:09,19/03/2025,19:00:00,Culto,Culto de Quarta,Pr Clodoilson ,Blindando a Mente contra os Ataques do Inimigo ,SIM,Vencendo Desafios,32,34,21,6,19,
23/03/2025 11:28:35,23/03/2025,10:30:00,Culto,Culto de Celebração,Bispo Clodoilson ,O grande lucro ,SIM,Uma vida abençoada ,48,72,25,15,20,
23/03/2025 17:53:33,23/03/2025,17:00:00,Culto,Culto de Celebração,Bispo Clodoilson ,O grande lucro,SIM,Uma vida abencoada,30,48,11,2,19,Total entre adultos e pastores:97
23/03/2025 19:51:15,23/03/2025,19:00:00,Culto,Culto de Celebração,Bispo Clodoilson ,O grande Lucro,SIM,Uma vida abencoada,33,45,28,07,19,Total entre adultos e pastores
26/03/2025 19:52:40,26/03/2025,19:00:00,Culto,Culto de Celebração,Pastora Ana Lucia,Blindando a mente contra os ataques do inimigos parte 2,SIM,Vencendo desafios,21,24,10,3,19,Entre adultos e pastores =64
30/03/2025 11:47:41,30/03/2025,10:30:00,Culto,Culto de Celebração,Pra Janister,Tudo pela oração,SIM,Uma vida abençoada ,35,61,18,7,23,
30/03/2025 18:15:55,30/03/2025,17:00:00,Culto,Culto de Celebração,Pastora Carlos cantos ,Tudo pela oração ,SIM,Uma vida abençoada ,18,60,13,7,25,
30/03/2025 19:54:42,30/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Waldomiro ,Tudo pela oração ,SIM,Uma vida abençoada ,21,40,11,7,24,
02/04/2025 19:52:40,02/04/2025,19:00:00,Culto,Culto de Quarta,Bispo Clodoilson ,Blindando a mente contra os ataques do inimigo ,SIM,Vencendo desafios ,26,55,22,6,26,
06/04/2025 11:31:22,06/04/2025,10:30:00,Culto,Outros,Bispo Clodoilson ,Tesouros encobertos tesouros escondidos,SIM,Riquezas encobertas tesouros escondidos ,41,63,22,4,25,
06/04/2025 17:58:15,06/04/2025,17:00:00,Culto,Culto de Celebração,Bispo Clodoilson,Santa Ceia,SIM,Riquezas encobertas tesouros escondidos ,47,77,19,11,26,"Relevanteens 
Tema: Deus quer você perdoador 
Ministro: Felipe
Teens: 27"
06/04/2025 19:55:08,06/04/2025,19:00:00,Culto,Culto de Celebração,Bospo clodoilson ,Riquezas em coberto tesouro escondido,SIM,Ceia,23,35,16,02,25,Total entre postores e adultos 74
09/04/2025 19:57:43,09/04/2025,07:00:00,Culto,Culto de Quarta,Pastora ANA,A fé que não desiste vence,SIM,Vencendo desafios ,18,21,11,5,20,
13/04/2025 10:51:06,13/04/2025,10:00:00,Culto,Culto de Celebração,Pastora Ana Lucia ,Riquesas encobertas tesouros escondidos ,SIM,A luz revela o tesouro ,43,60,20,9,24,
13/04/2025 19:57:14,13/04/2025,19:00:00,Culto,Outros,Pra Ana Lúcia ,A luz revela o seu tesouro ,SIM,"Riquezas encobertas, tesouros escondidos ",42,51,12,5,20,"Teen : 19
Voluntários : 5
"
16/04/2025 19:47:52,16/04/2025,19:00:00,Culto,Culto de Celebração,Prª Janister,Quando a fé se levanta os inimigos caem,SIM,Vencendo desafios,23,33,9,5,21,
20/04/2025 11:18:04,20/04/2025,10:30:00,Culto,Culto de Celebração,Prª Janister,Cristo nossa Páscoa ,NÃO,,27,46,19,6,20,
20/04/2025 17:53:52,20/04/2025,17:00:00,Culto,Culto de Celebração,Bispo Clodoilson ,Cristo nossa pascoa,SIM,Cristo nossa pascoa ,17,37,11,2,19,Entre adultos e pastores 73
20/04/2025 19:49:35,20/04/2025,19:00:00,Culto,Culto de Celebração,Bispo Clodoilson ,Cristo nossa Páscoa ,NÃO,,26,49,28,3,22,
23/04/2025 19:51:23,23/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Waldomiro ,Inabaláveis na fé ,SIM,Vencendo desafio ,22,29,25,8,21,
